channels/select-select/beside-loop	Corpus/coverage/exec/channels/select-select	selectBesideSelectLoop	-	ok	channels,select,goroutines	-	strict	-	width=8,sites=96,cap=1024,work=30000000,backedge=1
goroutines/pipeline/two-stage	Corpus/coverage/exec/goroutines/pipeline	pipelineTwoStage	-	ok	goroutines,channels,range,close	-	strict	-	width=8,sites=96,cap=1024,work=30000000,backedge=1
goroutines/pipeline/buffered-stage	Corpus/coverage/exec/goroutines/pipeline	pipelineBufferedStage	-	ok	goroutines,channels,range,close	-	strict	-	width=8,sites=96,cap=1024,work=30000000,backedge=1
goroutines/worker-pool/sum	Corpus/coverage/exec/goroutines/worker-pool	workerPoolSum	-	ok	goroutines,channels,closures	-	confluent	the summed contributions commute and the result channel joins all workers before the readout, so every schedule yields the one member	width=8,sites=96,cap=1024,work=30000000,backedge=1
goroutines/worker-pool/shared-feed	Corpus/coverage/exec/goroutines/worker-pool	workerPoolSharedFeed	-	ok	goroutines,channels,range,close	-	strict	-	width=8,sites=96,cap=1024,work=30000000,backedge=1
imported-goose/channel/parallel-search-replace/search-replace	Corpus/coverage/exec/imported-goose/channel/parallel-search-replace	goleanSearchReplace	-	ok	imported_goose,sync,waitgroup,goroutines,channels	-	strict	-	width=8,sites=96,cap=1024,work=30000000,backedge=1
imported-goose/unittest/spawn/simple-spawn	Corpus/coverage/exec/imported-goose/unittest/spawn	goleanSimpleSpawn	-	ok	imported_goose,sync,mutex,goroutines	-	strict	-	width=8,sites=96,cap=1024,work=30000000,backedge=1
spec-examples-stmt/go-statements/func-literal	Corpus/coverage/exec/spec-examples-stmt/go-statements	goStatementFuncLiteral	-	ok	goroutines,channels,closures,loops,bools	-	strict	-	width=8,sites=96,cap=1024,work=30000000,backedge=1
spec-examples-stmt/prime-sieve/five	Corpus/coverage/exec/spec-examples-stmt/prime-sieve	primeSieveFirst	5	ok	goroutines,channels,range,loops,modulo	-	strict	-	width=8,sites=96,cap=1024,work=30000000,backedge=1
spec-examples-stmt/prime-sieve/eight	Corpus/coverage/exec/spec-examples-stmt/prime-sieve	primeSieveFirst	8	ok	goroutines,channels,range,loops,modulo	-	strict	-	width=8,sites=96,cap=1024,work=30000000,backedge=1
sync/waitgroup-workers-join/workers-join	Corpus/coverage/exec/sync/waitgroup-workers-join	workersJoin	-	ok	sync,waitgroup,mutex,goroutines,globals,loops	-	strict	-	width=8,sites=96,cap=1024,work=30000000,backedge=1
