# scripts/detector-soundness rows — see meta.tsv; columns:
# id	lane	features	expected_status	gc_runs(per GOMAXPROCS)	gc_verdict	machine_members	machine_race_members	machine_verdict	machine_single_run	cell	detail
probe/u4kind/mu-copy-vs-lock	probe	sync,mutex,goroutines,channels,structs,race	ok	p1:race=5,clean=0,exit=0,abnormal=0,timeout=0;p8:race=5,clean=0,exit=0,abnormal=0,timeout=0;	RACE	1	1	RACE-ALL	race	agree-race	-
probe/u4kind/mu-lock-vs-copy	probe	sync,mutex,goroutines,channels,structs,race	ok	p1:race=5,clean=0,exit=0,abnormal=0,timeout=0;p8:race=5,clean=0,exit=0,abnormal=0,timeout=0;	RACE	1	1	RACE-ALL	race	agree-race	-
probe/u4kind/mu-overwrite-vs-lock	probe	sync,mutex,goroutines,channels,structs,race	ok	p1:race=5,clean=0,exit=0,abnormal=0,timeout=0;p8:race=5,clean=0,exit=0,abnormal=0,timeout=0;	RACE	1	1	RACE-ALL	race	agree-race	-
probe/u4kind/mu-copy-vs-unlock	probe	sync,mutex,goroutines,channels,structs,race	ok	p1:race=5,clean=0,exit=0,abnormal=0,timeout=0;p8:race=5,clean=0,exit=0,abnormal=0,timeout=0;	RACE	1	1	RACE-ALL	race	agree-race	-
probe/u4kind/mu-contend	probe	sync,mutex,goroutines,channels,structs,race	ok	p1:race=0,clean=5,exit=0,abnormal=0,timeout=0;p8:race=0,clean=5,exit=0,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
probe/u4kind/mu-siblings-under-lock	probe	sync,mutex,goroutines,channels,structs,race	ok	p1:race=0,clean=5,exit=0,abnormal=0,timeout=0;p8:race=0,clean=5,exit=0,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
probe/u4kind/mu-disjoint-prims	probe	sync,mutex,goroutines,channels,structs,race	ok	p1:race=0,clean=5,exit=0,abnormal=0,timeout=0;p8:race=0,clean=5,exit=0,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
probe/u4kind/mu-sibling-beside-lock	probe	sync,mutex,goroutines,channels,structs,race	ok	p1:race=0,clean=5,exit=0,abnormal=0,timeout=0;p8:race=0,clean=5,exit=0,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
probe/u4kind/rw-copy-vs-rlock	probe	sync,rwmutex,goroutines,channels,structs,race	ok	p1:race=0,clean=5,exit=0,abnormal=0,timeout=0;p8:race=0,clean=5,exit=0,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
probe/u4kind/rw-overwrite-vs-rlock	probe	sync,rwmutex,goroutines,channels,structs,race	ok	p1:race=5,clean=0,exit=0,abnormal=0,timeout=0;p8:race=5,clean=0,exit=0,abnormal=0,timeout=0;	RACE	1	1	RACE-ALL	race	agree-race	-
probe/u4kind/rw-copy-vs-lock	probe	sync,rwmutex,goroutines,channels,structs,race	ok	p1:race=0,clean=5,exit=0,abnormal=0,timeout=0;p8:race=0,clean=5,exit=0,abnormal=0,timeout=0;	DRF-in-N	1	0	DRF	ok	agree-DRF	-
probe/u4kind/rw-overwrite-vs-lock	probe	sync,rwmutex,goroutines,channels,structs,race	ok	p1:race=5,clean=0,exit=0,abnormal=0,timeout=0;p8:race=5,clean=0,exit=0,abnormal=0,timeout=0;	RACE	1	1	RACE-ALL	race	agree-race	-
