# e13-b round-17 rebase — the witness matrix re-run against the REBASED binaries ([AGENT] reconciler, 2026-09-05): every program of reaudit-witnesses.tsv (129; .tmp/audit/re/*, .tmp/audit/re2/*) re-emitted with the rebased frontend (tools/nativefrontend at the tip) and enumerated with the rebased golean (coverage-observations --function sub --max-width 2); the cell is the observation SET (status[output]message, sorted, ' ;; '-joined) or the refusal text (a per-declaration quarantine's text read from the wire's `unsupported` field, as the lane's matrix did). Compared with the recorded re-audit-tip column as SETS (the recorded column was not sorted) and, for refusals, on the recorded cell's truncated prefix. gc column copied from the recorded matrix.
program	gc	recorded@re-audit-tip	machine@round17-rebased-tip	verdict
P10_recover_call	panic: s [recovered]| panic: interface conversion: interface {} is string, not int	panic[]s [recovered] ;; panic[wit 5|]s [recovered]	panic[]s [recovered] ;; panic[wit 5|]s [recovered]	same
P12_addr_index_call	wit 5|panic: runtime error: index out of range [9] with length 1	panic[]runtime error: index out of range [9] with length 1 ;; panic[wit 5|]runtime error: index out of range [9] with length 1	panic[]runtime error: index out of range [9] with length 1 ;; panic[wit 5|]runtime error: index out of range [9] with length 1	same
P12b_addr_assert_call	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	same
P16_slicelit_recv	panic: runtime error: index out of range [5] with length 1	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) followed by an ordered call/receive in the same statement — the allocation hoists to its lexical position and evaluates its payload there, ahead of the later event, where gc evaluates the payload in the residual after the call; spec#Order_of_evaluation forces neither order and the machine realizes only one; refused by name (structural-allocation class, E13 (b) residual; e13-b audit fix round R2)	same
P17_maplit_call	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
P18_tgt_min	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	same
P19_tgt_copy	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	same
P1_tgt_assert_recv	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	same
P20_tgt_append	panic: interface conversion: interface {} is string, not int	coverage-observations: site bound 31 exceeds the case's width 2 — the width assertion is REFUTED (mechanically	!! ENUM: coverage-observations: site bound 31 exceeds the case's width 2 — the width assertion is REFUTED (mechanically, at pick position 1); raise the case's width metadata	same
P21_bytesconv_slice_printroot	panic: runtime error: slice bounds out of range [:7] with capacity 2	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	same
P21b_bytesconv_index_call	wit 5|panic: runtime error: index out of range [7] with length 2	panic[]runtime error: index out of range [7] with length 2 ;; panic[wit 5|]runtime error: index out of range [7] with length 2	panic[]runtime error: index out of range [7] with length 2 ;; panic[wit 5|]runtime error: index out of range [7] with length 2	same
P21c_bytesconv_slice_call	panic: runtime error: slice bounds out of range [:7] with capacity 2	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	same
P22_compound_assert_len	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [5] with length 1	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [5] with length 1	same
P23_mapcompound_index_call	wit 5|panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
P24_tgt_index_call_value	mut|1 7	ok[mut|1 7|]	ok[mut|1 7|]	same
P25_tgt_index_panicky_call	wit 5|panic: runtime error: index out of range [9] with length 3	panic[wit 5|]runtime error: index out of range [9] with length 3	panic[wit 5|]runtime error: index out of range [9] with length 3	same
P26_deref_tgt_call	wit 5|panic: runtime error: invalid memory address or nil pointer dereference	panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	same
P27_ptrsel_base_tgt_call	wit 5|panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference ;; panic[wit 5|]runtime error: invalid memory address or nil pointer dereference	same
P28_incdec_tgt_recv	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	same
P29_two_tgt_recv	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	same
P2_compound_read_order	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[]runtime error: index out of range [9] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[]runtime error: index out of range [9] with length 1	same
P3_compound_call_index	f|wit 5|panic: runtime error: index out of range [9] with length 1	panic[f|]runtime error: index out of range [9] with length 1	panic[f|]runtime error: index out of range [9] with length 1	same
P4_mapcompound_assert	panic: interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string	same
P5_maptgt_assert_call	panic: interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string ;; panic[wit 5|]interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string ;; panic[wit 5|]interface conversion: interface {} is int, not string	same
P6_tgt_assert_call	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	same
P7_arr2_tgt_len	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
P7b_arr2_tgt_call	wit 5|panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 5|]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 5|]runtime error: index out of range [5] with length 1	same
P9_bytesconv_slice_payload	panic: runtime error: slice bounds out of range [:7] with length 2	panic[]runtime error: slice bounds out of range [:7] with length 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with length 2	panic[]runtime error: slice bounds out of range [:7] with length 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with length 2	same
Q10_maplit_payload_call_w	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
Q1_fieldaddr_nil	panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	same
Q2_slicelit_recv_w	w 0	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) followed by an ordered call/receive in the same statement — the allocation hoists to its lexical position and evaluates its payload there, ahead of the later event, where gc evaluates the payload in the residual after the call; spec#Order_of_evaluation forces neither order and the machine realizes only one; refused by name (structural-allocation class, E13 (b) residual; e13-b audit fix round R2)	same
Q3_maptgt_recv_w	w 1	ok[w 0|] ;; ok[w 1|]	ok[w 0|] ;; ok[w 1|]	same
Q4_compound_call_tgt_len	f|panic: runtime error: index out of range [5] with length 1	REFUSED: len of a potentially-panicking operand hoisted past UNPROBED panicky material to its left (index expression at	REFUSED: len of a potentially-panicking operand hoisted past UNPROBED panicky material to its left (index expression at main.go:4:60) with a later ordered call/receive in the same statement — the left material sits where the E13 (b) envelope emits no unseq-probe (an assignment/IncDec/compound target, an address-of or receiver operand, or an operand containing recover() or an allocating conversion), so the hoist would realize only the events-first panic order where spec#Order_of_evaluation fixes none; refused by name (narrowed A6 guard, BUG-032/BUG-083; E13 (b) boundary, e13-b audit fix round R1)	same
Q5_ptrlit_payload_printroot	wit 5|panic: runtime error: index out of range [9] with length 1	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the paylo	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the payload) followed by an ordered call/receive in the same statement — the allocation hoists to its lexical position and evaluates its payload there, ahead of the later event, where gc evaluates the payload in the residual after the call; spec#Order_of_evaluation forces neither order and the machine realizes only one; refused by name (structural-allocation class, E13 (b) residual; e13-b audit fix round R2)	same
Q6_slicelit_payload_sinkroot	wit 5|panic: runtime error: index out of range [9] with length 1	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) followed by an ordered call/receive in the same statement — the allocation hoists to its lexical position and evaluates its payload there, ahead of the later event, where gc evaluates the payload in the residual after the call; spec#Order_of_evaluation forces neither order and the machine realizes only one; refused by name (structural-allocation class, E13 (b) residual; e13-b audit fix round R2)	same
Q7_tgt_assert_append_nospill	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	same
Q8_recover_assert_call_w	w true	ok[w true|] ;; ok[wit 5|w true|]	ok[w true|] ;; ok[wit 5|w true|]	same
Q9_arr2_tgt_len_distinct	panic: runtime error: index out of range [7] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[]runtime error: index out of range [7] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[]runtime error: index out of range [7] with length 1	same
R1_raftidiom	panic: runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	panic[]runtime error: invalid memory address or nil pointer dereference	same
