1	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
2	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
3	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
4	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
5	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
6	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
7	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
8	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
9	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
10	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
11	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
12	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
13	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
14	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
15	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
16	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
17	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
18	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
19	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
20	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":15}]}
