1	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
2	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
3	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
4	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
5	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
6	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
7	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
8	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
9	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
10	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
11	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
12	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
13	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
14	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
15	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
16	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
17	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
18	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
19	plain	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
20	race	rc=0	member	{"schema":"golean-observation-v1","status":"ok","values":[{"kind":"int","tag":"int","value":35}]}
