# tools/lowerdiag/causes.tsv — the refusal-cause table (ONE row per cause).
# Read by tools/lowerdiag (embedded) for BOTH passes: the static pass emits
# cause ids directly; the dynamic pass classifies the frontend's refusal
# text by `pattern`. Checked against docs/language-coverage-ledger.md by
# TestCausesTableAgreesWithLedger (an FR id here that the ledger does not
# row FAILS; a `pending:<branch>` row whose FR id HAS landed fails as stale).
# Columns:
#   id        stable cause id (the histogram key)
#   fr        FR-n (ledger §4 row) | Q-<name> (ledger §6 design question) |
#             out-of-language (spec: unsafe/reflect/print — ledger §2 rows) |
#             by-design (not a coverage gap: a generic TEMPLATE's quarantine) |
#             cascade (refused because it REFERENCES a refused declaration) |
#             c-pin (a RATIFIED (c)-pin of ledger §5.1 — an impossibility or a pinned detector, not a gap) |
#             unrowed (a refusal the ledger has NO row for — direction 3 owes one) |
#             apparatus (a pin/overlay/register/shim-table inconsistency — a property of the checkout, not of the program)
#   status    rowed | pending:<branch> (the FR row exists only on that unmerged branch)
#   scope     decl (per-declaration quarantine today) | export (WHOLE-EXPORT refusal today) |
#             call (the DECLARATION lowers; the CALL refuses when reached — an imported type's D5 stub)
#   pattern   Go regexp over the frontend's refusal text ("-" = static-only cause)
#   key       key template over the pattern's groups ("-" = the cause id)
#   diagnosis one line: what it is and where the plan lives
id	fr	status	scope	pattern	key	diagnosis
range-over-func	FR-12	rowed	decl	range over (.*\bfunc\(|.*\biter\.Seq)	-	range-over-func iterators (Go 1.23) — frontend desugar + yield/loop-exit protocol; ledger queue 12 (cedar-go's Authorize loop is this)
anon-struct	FR-13	rowed	decl	anonymous non-empty struct|anonymous struct type|on anonymous type|anonymous struct composite|pointer to anonymous struct	-	anonymous non-empty struct type as a first-class type (incl. as a type argument) — structural TypeIds; ledger queue 13
goto-hoist	FR-11	rowed	decl	goto function hoists (a captured variable|variable \S+ whose array|variable \S+ used as a pointer-method|an address-taken variable|variable \S+ shadowing)	-	backward/observable-cell goto: our hoisting lowering refuses captured/address-taken/sliced/shadowing hoisted variables (the jumps are legal); ledger queue 11
goto-nested-label	FR-20	rowed	decl	goto target label (\S+) not at function body top level	$1	forward goto to a label inside an enclosing nested block — block-level segmentation; ledger queue 20
labeled-shape	unrowed	rowed	decl	labeled statement lowering shape|labeled break/continue target|goto without label	-	a labeled-statement shape the lowering does not segment (emit.go emitLabeled) — no ledger row yet
complex	FR-15	rowed	decl	basic type (untyped )?complex|builtin (real|imag|complex)\b|constant kind Complex|float-typed constant of kind Complex	-	complex numbers (types, literals, constants, real/imag/complex) — the one large arc, last in the queue (15)
imported-generic-sig	FR-23	rowed	decl	method (\S+) is unsupported .*SIGNATURE does not lower	$1	an IMPORTED generic type instantiated in a METHOD signature (iter.Seq[T] results): since fr22-fr23 an opaque marker + per-declaration stub (FR-23 PARTIALLY CLOSED); the pattern is the sigRefusal arm, now reached only by a signature no marker covers (an anonymous struct parameter — FR-13)
basic-type-opaque-sig	FR-25	rowed	call	FR-25: basic type (\S+) is	$1	a declaration whose SIGNATURE mentions an unlowerable basic type (complex64/complex128 — FR-15; unsafe.Pointer — out of language) lowers as a stub / requirement carrying an opaque `named <basic>` marker (lane fr24, 2026-09-04); satisfaction answers, the CALL refuses by name; a VALUE of the type in a body is FR-15's own refusal (cause complex)
stencil-kill-tripwire	FR-4	rowed	export	^method stencil (\S+) does not lower \(.*FR-4: method stencils have no per-declaration quarantine	$1	TRIPWIRE (fr24 audit fix round M3's row, kept by the fr4-rowm audit fix round A2): the RETIRED whole-export stencil kill text. The frontend has not produced it since FR-4 closed per declaration (2026-09-04); if it ever reappears the kill is back and must classify FR-4 export-scoped BY NAME — never fall through to the inner cause's row (the new stub text cannot match this pattern: it starts `method <key> (FR-4: …`)
imported-generic-inst	FR-23	rowed	decl	instantiation of imported generic type (\S+)|imported generics are not modeled	$1	an imported generic type instantiated in a BODY (iter.Seq values, maps.Keys results): per-declaration quarantine; rides FR-23's D5 marker plan, then FR-12 for the calls
init-callee-unmodeled	FR-22	rowed	export	package initialization reaches quarantined (function|method) (\S+)	$2	a package-level initializer CALLS something outside the H-11 effect-isolation allowlist (pureUnmodeledCallees = os.Getenv/LookupEnv) and the initializer does not lower: WHOLE-EXPORT refusal today; ledger queue 22 (per-declaration var poisoning)
global-type-unlowerable	FR-24	rowed	decl	-	-	a package-level VARIABLE whose TYPE does not lower — since lane fr24 (2026-09-04) POISONED per declaration (`$poisoned` cell, gid kept), not a whole-export kill: the static pass flags the var; every reader lands as an H-3 stub (cause global-type-poisoned); FR-24 PARTIALLY CLOSED (the readers stay refused by name)
global-type-poisoned	FR-24	rowed	decl	package-level var (\S+): type (\S+) does not lower .* — FR-24 poison	$1	a reference (read, write, method call, address-of) to a package-level var whose TYPE does not lower — the var's cell is the `$poisoned` placeholder and the referencing declaration quarantines by name (FR-24, lane fr24 2026-09-04; the type's own cause is in the text)
stdlib-package-unmodeled	FR-14	rowed	decl	package-selector call (\S+)\.(\S+) \(package	$1.$2	a call into a stdlib package that is neither source-through nor shimmed (register: no row) — FR-14's extern surface; memo §6 slices (source-through admission per package)
stdlib-member-unmodeled	FR-14	rowed	decl	(\w+)\.(\w+) is outside the modeled subset \(modeled	$1.$2	a member of a PARTIALLY modeled (shim) package outside its retained direct-call members (fmt.Println …) — FR-14; fmt re-homing is memo G5 (slice 4)
stdlib-var-unmodeled	FR-14	rowed	decl	imported package-level variable (\S+)\.(\S+) has no seeded cell	$1.$2	a read of a package-level VARIABLE of an unmodeled stdlib package (time.UTC, os.Args, io.EOF) — FR-14 (source-through would seed it)
stdlib-value-position	FR-14	rowed	decl	used as a function VALUE|stdlib-qualified selector (\S+)\.(\S+) in (value|callee) position	$1.$2	a shimmed/unmodeled stdlib function used as a VALUE (not a direct call) — FR-14 (the shim admits the direct-call shape only)
stdlib-type-method	FR-14	rowed	call	imported method (\S+) \(declaration-only stub	$1	a method call on an imported named type whose package is not source-through (time.Time.Before, bytes-like models before slice 2) — the D5 stub answers satisfaction, the call refuses; FR-14
fmt-verb-matrix	FR-14	rowed	decl	fmt\.(\w+) verb (%\S+) over an argument of type (\S+)|fmt\.\w+ (verb|with|format|dynamic|spread|fixed-arity|writer|operand)|shim RUNTIME refusal	fmt.$1 $2@$3	the fmt desugar's verb×kind matrix / arity / writer bound — FR-14 (memo G5 re-homes fmt onto source-through in slice 4)
slices-sort-kind	FR-14	rowed	decl	slices\.Sort (at non-integer element type (\S+)|on non-slice|with)	slices.Sort@$2	slices.Sort outside the sortSlice op's integer kinds — NONE remains since 2026-09-04 (lane fr4-rowm, memo §3 row M: the op's intercept retired; slices.Sort is the real generic at every ordered kind); the row stays so a reappearance of the text is caught by name, never absorbed
intercepted-defer-go	FR-14	rowed	decl	the direct call of this library member is frontend-intercepted	-	defer/go of a frontend-intercepted library member — NONE remains since 2026-09-04 (the intercept table is EMPTY: slices.Sort retired by memo §3 row M, lane fr4-rowm; cmp.Compare retired by lane fr24); the row stays so a re-admitted intercept's defer/go refusal classifies
