# id	subject	args	expected_status	expected_reason	features	lane	why	params
passthrough-var	passthroughVar	-	panic	orig	panic,recover,defer,strings,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 0 here (the recovered box passed through: panic(r) — gc witness w01)	width=2,sites=8,members=2
two-literals	twoLiterals	-	panic	orig	panic,recover,defer,strings,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 0 here (two literal constants, linker-dedup'd read-only boxes — w04; layout-dependent)	width=2,sites=8,members=2
empty-literals	emptyLiterals	-	panic	recovered	panic,recover,defer,strings,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 0 here (two empty-string literals — w06b)	width=2,sites=8,members=2
multiple	multiple	-	panic	orig	panic,recover,defer,strings,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 0 here (three-entry chain, the head pair collapses; gc prints the third entry on line two — w23)	width=2,sites=8,members=2
bool-reboxed	boolReboxed	-	panic	true	panic,recover,defer,bools,type_assertions,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 0 here (bool re-boxed: every site uses staticuint64s, so gc collapses every bool re-panic at the pin — w08; slot 1 is admitted by spec silence and go <= 1.24's realization, never drawn here)	width=2,sites=8,members=2
int-literals	intLiterals	-	panic	1000	panic,recover,defer,ints,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 0 here (two large-int literals, dedup'd — w11)	width=2,sites=8,members=2
defined-passthrough	definedPassthrough	-	panic	Code(7)	panic,recover,defer,defined_type,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 0 here (a defined int passed through: main.Code(7) — w27)	width=2,sites=8,members=2
runtime-error-passthrough	runtimeErrorPassthrough	-	panic	nil pointer dereference	panic,recover,defer,nil,pointers,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 0 here (a runtime.Error passed through; preprintpanics rewrites the older entry to its Error() text — w19)	width=2,sites=8,members=2
nil-passthrough	nilPassthrough	-	panic	nil argument	panic,recover,defer,nil,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 0 here (panic(nil) under GODEBUG=panicnil=0 is a *runtime.PanicNilError, passed through — w22)	width=2,sites=8,members=2
unicode-literals	unicodeLiterals	-	panic	é	panic,recover,defer,strings,unicode,nondet	membership	the abort of a RECOVERED head re-panicked with an EQUAL payload draws the repanicCollapse pick (bound 2; BUG-004 item 1, landing chunk L3; [AGENT] extension of BUG-087's ruling SHAPE — a demonic choice where gc's realization is toolchain-internal — under R-1's re-envelope authority; the BUG-087 ruling itself («demonic choice so both are admitted», [USER] 2026-09-03 relayed) covers ONE choice at the nil arm/R9a, not this marker; [USER] ratification PENDING at the merge gate): slot 0 = the collapsed ` [recovered, repanicked]` line, slot 1 = the two-line form's ` [recovered]` — gc decides by eface identity the machine does not model (runtime/panic.go:715); members=2; gc draws member 0 here (two non-ASCII literals — w26)	width=2,sites=8,members=2
