# gc witness table — go1.26.5 linux/amd64, GODEBUG=panicnil=0 GOTRACEBACK=none, `go build` default flags; first abort line after `panic: ` (bytes escaped \xHH for non-printables; the byte 0x5c shown as \\), its hex, sha256[:16] of the whole stderr, stderr line count
id	rc	first_line	first_line_hex	stderr_sha256_16	stderr_lines
w01_panic_r	rc=2	orig [recovered, repanicked]	6f726967205b7265636f76657265642c20726570616e69636b65645d	c27ccbde55416226	1
w02_panic_recover	rc=2	orig [recovered, repanicked]	6f726967205b7265636f76657265642c20726570616e69636b65645d	c27ccbde55416226	1
w03_panic_r_string	rc=2	orig [recovered]	6f726967205b7265636f76657265645d	342c0569de5ca04c	2
w04_two_literals	rc=2	orig [recovered, repanicked]	6f726967205b7265636f76657265642c20726570616e69636b65645d	c27ccbde55416226	1
w05_runtime_computed	rc=2	orig [recovered]	6f726967205b7265636f76657265645d	342c0569de5ca04c	2
w06_empty_literal_then_dyn	rc=2	 [recovered]	205b7265636f76657265645d	e7cf8aa28a07a82b	2
w06b_empty_two_literals	rc=2	 [recovered, repanicked]	205b7265636f76657265642c20726570616e69636b65645d	e0681e5f2d0dcd9a	1
w07_unequal	rc=2	orig [recovered]	6f726967205b7265636f76657265645d	69bb7f8c37f49869	2
w08_bool_dyn	rc=2	true [recovered, repanicked]	74727565205b7265636f76657265642c20726570616e69636b65645d	63636bd9a24bcf3e	1
w09_int_small_dyn	rc=2	7 [recovered]	37205b7265636f76657265645d	288a486e2527c142	2
w10_int_large_dyn	rc=2	1000 [recovered]	31303030205b7265636f76657265645d	20ebec0b9e860955	2
w11_int_large_two_literals	rc=2	1000 [recovered, repanicked]	31303030205b7265636f76657265642c20726570616e69636b65645d	6848e4d7f5c599de	1
w12_unicode	rc=2	a\xc3\xa9\xe7\x95\x8c\xf0\x9f\x98\x80z	61c3a9e7958cf09f98807a	357cb58b49f8cc55	1
w13_newline	rc=2	first	6669727374	14eb1593b263847c	2
w14_recovered_newline	rc=2	first	6669727374	a5e1e1b66a711a9c	3
w15_trailing_newline	rc=2	first	6669727374	0669aa77333184e7	2
w16_invalid_after_lf	rc=2	a	61	692741d453cfb277	2
w17_invalid_before_lf	rc=2	\xff\x00\\	ff005c	37e8f53630905a95	2
w18_invalid_recovered_equal	rc=2	\xff\x00\\	ff005c	32e7cd3eccb8f473	2
w19_runtime_error_panic_r	rc=2	runtime error: invalid memory address or nil pointer dereference [recovered, repanicked]	72756e74696d65206572726f723a20696e76616c6964206d656d6f72792061646472657373206f72206e696c20706f696e7465722064657265666572656e6365205b7265636f76657265642c20726570616e69636b65645d	852520f3dadbc0d2	2
w20_runtime_error_panic_error	rc=2	runtime error: invalid memory address or nil pointer dereference [recovered, repanicked]	72756e74696d65206572726f723a20696e76616c6964206d656d6f72792061646472657373206f72206e696c20706f696e7465722064657265666572656e6365205b7265636f76657265642c20726570616e69636b65645d	7e80e032a8c8b4c2	2
w21_runtime_error_panic_text	rc=2	runtime error: invalid memory address or nil pointer dereference [recovered]	72756e74696d65206572726f723a20696e76616c6964206d656d6f72792061646472657373206f72206e696c20706f696e7465722064657265666572656e6365205b7265636f76657265645d	3b88e4261eda9c51	3
w22_nil_panic_r	rc=2	panic called with nil argument [recovered, repanicked]	70616e69632063616c6c65642077697468206e696c20617267756d656e74205b7265636f76657265642c20726570616e69636b65645d	f2c7b64a5d8aa9a2	1
w23_multiple	rc=2	orig [recovered, repanicked]	6f726967205b7265636f76657265642c20726570616e69636b65645d	07c371af3f7dcbad	2
w24_equal_pair_not_head	rc=2	a [recovered]	61205b7265636f76657265645d	ad6decdd43c2ea96	2
w25_unrecovered_equal	rc=2	a	61	029393013266f4dc	1
w26_unequal_multiline_recovered	rc=2	\xc3\xa9 [recovered, repanicked]	c3a9205b7265636f76657265642c20726570616e69636b65645d	c86715ed06b0cbe8	1
w27_defined_int_panic_r	rc=2	main.Code(7) [recovered, repanicked]	6d61696e2e436f6465283729205b7265636f76657265642c20726570616e69636b65645d	2ad70e7e0fbe3991	1
w28_defined_int_dyn	rc=2	main.Code(1000) [recovered]	6d61696e2e436f6465283130303029205b7265636f76657265645d	9a165fd5da707a26	2
w29_string_var_literal	rc=2	orig [recovered, repanicked]	6f726967205b7265636f76657265642c20726570616e69636b65645d	c27ccbde55416226	1
w30_global_var	rc=2	orig [recovered]	6f726967205b7265636f76657265645d	342c0569de5ca04c	2
w31_two_nil_derefs	rc=2	runtime error: invalid memory address or nil pointer dereference [recovered, repanicked]	72756e74696d65206572726f723a20696e76616c6964206d656d6f72792061646472657373206f72206e696c20706f696e7465722064657265666572656e6365205b7265636f76657265642c20726570616e69636b65645d	e46329127f005583	2
w32_two_index_faults	rc=2	runtime error: index out of range [5] with length 1 [recovered]	72756e74696d65206572726f723a20696e646578206f7574206f662072616e6765205b355d2077697468206c656e6774682031205b7265636f76657265645d	2564ff579115a835	2
w33_defined_small_reboxed	rc=2	main.Code(7) [recovered]	6d61696e2e436f6465283729205b7265636f76657265645d	3bd15d2ce5ae819d	2
w34_multiline_passthrough	rc=2	first	6669727374	b7f71a79e98e6bbd	2
w35_invalid_first_line	rc=2	\xffZ	ff5a	dcf98a6c1f70a852	2
w36_invalid_recovered_passthrough	rc=2	\xffZ [recovered, repanicked]	ff5a205b7265636f76657265642c20726570616e69636b65645d	2bdfdd8dee7ec293	1
w37_invalid_single	rc=2	\xff	ff	617f7461f95a8837	1
