# producer: scripts/capped scripts/ci --diff on this branch (the gate run), membership rows of artifacts/coverage/latest.tsv
PASS	atomics/spin/flag-wait	membership	enumerated=1 exhibited=1 draws=1 (K=32; stopped at the members=1 pin) unexhibited=0 (members in artifacts/coverage/membership/atomics/spin/flag-wait)
PASS	channels/select-multi-ready/observable	membership	enumerated=2 exhibited=2 draws=2 (K=32; stopped at the members=2 pin) unexhibited=0 (members in artifacts/coverage/membership/channels/select-multi-ready/observable)
PASS	goroutines/sched-dependent/first-come	membership	enumerated=2 exhibited=2 draws=8 (K=32; stopped at the members=2 pin) unexhibited=0 (members in artifacts/coverage/membership/goroutines/sched-dependent/first-come)
PASS	goroutines/sched-dependent/select-default-handshake	membership	enumerated=2 exhibited=2 draws=6 (K=32; stopped at the members=2 pin) unexhibited=0 (members in artifacts/coverage/membership/goroutines/sched-dependent/select-default-handshake)
PASS	goroutines/sched-dependent/len-handoff	membership	enumerated=2 exhibited=2 draws=10 (K=32; stopped at the members=2 pin) unexhibited=0 (members in artifacts/coverage/membership/goroutines/sched-dependent/len-handoff)
PASS	goroutines/sched-dependent/waiter-pick	membership	enumerated=2 exhibited=2 draws=10 (K=32; stopped at the members=2 pin) unexhibited=0 (members in artifacts/coverage/membership/goroutines/sched-dependent/waiter-pick)
PASS	goroutines/select-arrival-multi	membership	enumerated=2 exhibited=2 draws=2 (K=32; stopped at the members=2 pin) unexhibited=0 (members in artifacts/coverage/membership/goroutines/select-arrival-multi)
PASS	goroutines/select-wake-close-selsel	membership	enumerated=2 exhibited=2 draws=3 (K=32; stopped at the members=2 pin) unexhibited=0 (members in artifacts/coverage/membership/goroutines/select-wake-close-selsel)
PASS	goroutines/select-wake-multi	membership	enumerated=2 exhibited=1 draws=32 (K=32; pin members=2 NOT reached — 1 distinct drawn) unexhibited=1 (members in artifacts/coverage/membership/goroutines/select-wake-multi)
PASS	goroutines/send-then-spin	membership	enumerated=1 exhibited=1 draws=1 (K=32; stopped at the members=1 pin) unexhibited=0 (members in artifacts/coverage/membership/goroutines/send-then-spin)
PASS	goroutines/wake-then-abort	membership	enumerated=2 exhibited=1 draws=32 (K=32; pin members=2 NOT reached — 1 distinct drawn) unexhibited=1 (members in artifacts/coverage/membership/goroutines/wake-then-abort)
