# id	subject	args	expected_status	expected_reason	features	lane	why	params
# 2026-08-21 POR slice: rw-writers -> engine=dedup, tier=slow DROPPED
# (10.5k nodes, <1 s; docs/2026-08-21_w32-por-design.md).
# 2026-08-20 W3.2 slice 1 stage C (B1 post-op boundaries): the widened
# machine branches at every registry-op COMPLETION, so enumeration
# trees grew; sites/work caps re-measured per row (sets unchanged
# unless stated). Record: docs/w32-log.md stage C.
# FALSE-POSITIVE guards for the sync-package HB edges (spec-parity
# slice 2, design note §5): each subject is race-free exactly through
# one sync edge; go run -race verified green 2026-08-09.
# mutex row: sites=60/work=30M raised from defaults at the flip
# commit (measured; the two-critical-section tree exceeds sites=8;
# in-file note per the audit fix round).
mutex	freeSyncMutex	-	ok	-	sync,mutex,goroutines,channels,globals,race	confluent	the mutex edges order the commuting increments and the join closes the run; a missed edge would break the certified singleton on some schedule	width=4,sites=60,work=30000000
wg-edge	freeSyncWgEdge	-	ok	-	sync,waitgroup,goroutines,globals,race	confluent	the Done-to-Wait edge orders the bare-looking write/read pair on every schedule	width=4,sites=8
once-edge	freeSyncOnceEdge	-	ok	-	sync,once,goroutines,channels,globals,race,closures	confluent	the Once completion edge orders the single write before both Do returns on every schedule	width=4,sites=20
rw-writers	freeSyncRwWriters	-	ok	-	sync,rwmutex,waitgroup,goroutines,globals,race	confluent	write-unlock to write-lock (semA) orders the two increments whichever order the schedule realizes — the green twin of negative-sync/rlock-serialized	width=4,sites=40,work=1000000,engine=dedup
# BUG-080 controls (2026-09-02, the atomic access-kind slice): the sync
# ops' accesses on the primitive's OWN path must not spill over the
# enclosing struct's sibling fields or onto other primitives (the
# ruling's check (i) — locPrefix is per-path). go run -race green.
mutex-siblings	freeSyncMutexSiblings	-	ok	-	sync,mutex,goroutines,channels,structs,race	confluent	BUG-080 check (i): sibling fields written under the lock from two goroutines — the Locks' atomic writes at .field mu are disjoint from .field a/.field b	width=4,sites=32
disjoint-prims	freeSyncDisjointPrims	-	ok	-	sync,mutex,goroutines,channels,structs,race	confluent	BUG-080 check (i): two primitives in one struct, each guarding its own field — distinct paths, nothing overlaps	width=4,sites=32
